CorrectClone	OldClone	matched_mother	matched_father
25376	24852	1909	6909
25377	24853	1909	6909
25383	24859	1909	6909
25388	24864	1909	6909
25389	24865	1909	6909
25391	24867	1909	6909
25392	24868	1909	6909
26054	25530	1909	6909
26055	25531	1909	6909
26161	25637	1950	6909
26162	25638	1950	6909
26163	25639	1950	6909
26164	25640	1950	6909
26165	25641	1950	6909
26166	25642	1950	6909
26167	25643	1950	6909
26168	25644	1950	6909
26169	25645	1950	6909
26170	25646	1950	6909
26171	25647	1950	6909
26172	25648	1950	6909
26173	25649	1950	6909
26174	25650	1950	6909
26176	25652	1950	6909
26177	25653	1950	6909
26178	25654	1950	6909
26179	25655	1950	6909
26717	26193	1950	6909
26719	26195	1950	6909
26720	26196	1950	6909
26721	26197	1950	6909
26724	26200	1950	6909
26725	26201	1950	6909
26733	26209	1950	6909
26735	26211	1950	6909
26740	26216	1950	6909
26741	26217	1950	6909
26742	26218	1950	6909
26744	26220	1950	6909
26752	26228	1950	6909
26761	26237	1950	6909
26762	26238	1950	6909
26259	25735	2048	6909
26261	25737	2048	6909
26263	25739	2048	6909
26266	25742	2048	6909
26267	25743	2048	6909
26268	25744	2048	6909
26273	25749	2048	6909
26275	25751	2048	6909
26278	25754	2048	6909
26280	25756	2048	6909
26281	25757	2048	6909
26282	25758	2048	6909
26283	25759	2048	6909
26284	25760	2048	6909
26285	25761	2048	6909
26287	25763	2048	6909
26289	25765	2048	6909
26290	25766	2048	6909
26442	25918	2066	6909
26451	25927	2066	6909
26780	26256	2066	6909
26783	26259	2066	6909
26784	26260	2066	6909
26785	26261	2066	6909
26786	26262	2066	6909
26787	26263	2066	6909
26788	26264	2066	6909
26789	26265	2066	6909
26790	26266	2066	6909
26791	26267	2066	6909
26792	26268	2066	6909
26793	26269	2066	6909
26795	26271	2066	6909
26872	26348	2066	6909
26873	26349	2066	6909
26874	26350	2066	6909
26876	26352	2066	6909
26877	26353	2066	6909
26587	26063	2283	6909
26596	26072	2283	6909
26604	26080	2283	6909
26618	26094	2283	6909
25917	25393	4593	6909
25918	25394	4593	6909
25920	25396	4593	6909
25923	25399	4593	6909
25926	25402	4593	6909
25927	25403	4593	6909
25930	25406	4593	6909
25934	25410	4593	6909
25945	25421	4593	6909
25949	25425	4593	6909
26701	26177	4593	6909
26702	26178	4593	6909
26732	26208	4593	6909
26745	26221	4593	6909
26749	26225	4593	6909
25272	24748	1863	7073
25273	24749	1863	7073
25276	24752	1863	7073
25277	24753	1863	7073
25280	24756	1863	7073
27167	26643	1863	7073
27173	26649	1863	7073
27174	26650	1863	7073
27176	26652	1863	7073
27177	26653	1863	7073
27178	26654	1863	7073
27179	26655	1863	7073
27181	26657	1863	7073
27184	26660	1863	7073
27188	26664	1863	7073
27192	26668	1863	7073
27199	26675	1863	7073
27201	26677	1863	7073
25813	25289	1909	7073
25821	25297	1909	7073
25825	25301	1909	7073
25829	25305	1909	7073
25831	25307	1909	7073
25834	25310	1909	7073
25835	25311	1909	7073
25841	25317	1909	7073
26010	25486	1909	7073
26011	25487	1909	7073
26014	25490	1909	7073
26015	25491	1909	7073
26016	25492	1909	7073
26017	25493	1909	7073
26019	25495	1909	7073
26022	25498	1909	7073
26024	25500	1909	7073
25476	24952	1950	7073
25478	24954	1950	7073
25480	24956	1950	7073
25481	24957	1950	7073
25482	24958	1950	7073
25485	24961	1950	7073
25486	24962	1950	7073
25487	24963	1950	7073
25488	24964	1950	7073
25490	24966	1950	7073
25491	24967	1950	7073
25492	24968	1950	7073
25493	24969	1950	7073
25494	24970	1950	7073
25495	24971	1950	7073
25496	24972	1950	7073
25497	24973	1950	7073
25498	24974	1950	7073
25499	24975	1950	7073
26294	25770	2048	7073
26299	25775	2048	7073
26300	25776	2048	7073
26302	25778	2048	7073
26303	25779	2048	7073
26304	25780	2048	7073
26305	25781	2048	7073
26310	25786	2048	7073
26317	25793	2048	7073
26327	25803	2048	7073
26328	25804	2048	7073
26330	25806	2048	7073
26331	25807	2048	7073
